Account Statement,,,,,,,,,,
,,,,,,,,,,
Summary,,,,,,,,,,
Account Number,54382504-17         ,,,,,,,,,
Account Type,Utility Account,,,,,,,,,
Account Status,Active,,,,,,,,,
Current Balance,"7,115",,,,,,,,,
Uncleared Funds,0,,,,,,,,,
Reserved Funds,0,,,,,,,,,
Available Funds,"7,115",,,,,,,,,
Time Balance Confirmed,,,,,,,,,,
Charge Band,Staggered Tariff 2,,,,,,,,,
Rule Group,Default Business Utility Account Rules,,,,,,,,,
,,,,,,,,,,
Transactions,,,,,,,,,,
Receipt,Date,Details,Status,Withdrawn,Paid In,Balance,Balance Confirmed,Transaction Type,Other Party Info,Transaction Party Details
MKP-27,2013-08-22 20:22:10,Payment received from 0721000000 - PAULINE VAUGHAN Acc. No a account,Completed,00,4,"48,071",true,Pay Utility,0721000000 - PAULINE VAUGHAN,EST13/1-7
